idx,featAbs1,featAbs2,featAbs3,label
82950,11.88,24.614,18.043,1
82975,14.896,16.155,33.336,1
83000,15.603,19.926,22.265,1
83025,19.352,38.983,29.457,1
83050,32.189,27.918,48.228,1
83075,345.012,99.687,45.281,1
83100,1024.079,239.189,137.358,1
83125,240.261,131.862,278.045,1
83150,309.685,122.31,261.017,1
83175,234.795,75.717,187.933,1
83200,355.673,83.914,73.848,1
83225,353.276,106.354,146.462,1
83250,280.009,137.571,210.564,1
83275,258.465,104.799,162.274,1
83300,225.543,158.211,156.222,1
83325,276.728,61.377,89.661,1
83350,262.256,106.907,133.17,1
83375,152.327,75.328,138.535,1
83400,120.204,105.211,151.276,1
83425,279.037,70.677,112.597,1
83450,136.693,112.888,127.432,1
83475,176.963,72.984,88.071,1
83500,146.868,60.969,77.797,1
83525,116.049,64.363,41.232,1
83550,132.036,61.58,35.726,1
83575,108.955,76.775,48.451,1
83600,97.763,94.028,64.442,1
83625,128.107,94.492,98.06,1
83650,134.247,56.845,98.865,1
83675,126.16,57.867,107.93,1
83700,121.319,82.929,95.189,1
83725,88.291,44.896,97.211,1
83750,74.792,83.636,109.135,1
83775,75.917,70.902,98.232,1
83800,76.447,44.054,91.454,1
83825,68.918,47.738,77.512,1
83850,76.458,97.664,67.181,1
83875,109.259,73.781,89.715,1
83900,97.728,66.324,56.68,1
83925,97.865,56.623,44.585,1
83950,55.139,66.413,33.69,1
83975,110.966,67.375,52.759,1
84000,108.494,68.461,71.131,1
84025,111.637,72.432,40.802,1
84050,87.9,112.084,51.691,1
84075,200.524,51.096,73.839,1
84100,236.444,109.784,54.67,1
84125,150.814,46.615,56.897,1
84150,99.348,65.521,43.87,1
84175,137.691,70.601,68.473,1
84200,96.745,87.184,23.002,1
84225,94.564,36.816,42.377,1
84250,118.918,40.728,47.071,1
84275,113.296,48.386,42.04,1
84300,92.69,51.346,67.942,1
84325,108.7,65.701,38.955,1
84350,82.121,75.12,32.346,1
84375,50.58,58.719,42.217,1
84400,59.876,43.618,26.892,0
84425,78.397,46.458,34.194,0
84450,87.111,61.872,39.49,0
84475,295.076,52.722,48.224,0
84500,96.125,46.336,42.471,0
84525,112.167,66.883,45.506,0
84550,123.859,161.62,41.374,0
84575,101.476,131.37,80.556,0
84600,80.039,167.218,148.645,0
84625,57.766,46.579,110.326,0
84650,27.263,48.61,151.89,0
84675,48.176,36.838,159.44,0
84700,56.198,8.967,74.074,0
84725,68.308,14.165,58.399,0
84750,41.746,33.415,169.33,0
84775,19.517,42.283,219.114,0
84800,11.197,44.816,231.194,0
84825,21.547,30.479,185.067,0
84850,28.75,16.42,135.536,0
84875,39.421,13.405,87.137,0
84900,37.739,13.27,78.525,0
84925,29.847,7.253,55.26,0
84950,12.777,9.279,38.345,0
84975,12.929,7.772,21.171,0
85000,20.163,16.983,21.148,0
85025,21.965,10.868,36.023,0
85050,26.437,6.182,40.83,0
85075,23.093,7.796,62.595,0
85100,19.861,8.564,70.576,0
85125,24.886,16.136,81.67,0
85150,29.002,16.311,74.812,0
85175,10.201,14.867,75.308,0
85200,11.991,20.046,62.056,0
85225,11.771,18.752,65.111,0
85250,15.572,13.601,51.078,0
85275,13.613,10.233,62.769,0
85300,17.516,18.03,45.021,0
85325,9.075,22.947,45.445,0
85350,11.915,23.391,30.675,0
85375,13.158,24.065,28.56,0
85400,12.963,22.326,21.487,0
85425,11.483,25.635,27.841,0
85450,13.75,22.578,18.971,0
85475,13.985,26.361,17.72,0
85500,21.983,20.483,17.602,0
85525,14.762,25.668,14.697,0
85550,16.887,21.849,19.905,0
85575,15.842,16.179,16.652,0
85600,14.052,8.961,17.086,0
85625,17.674,8.11,20.065,0
85650,17.226,10.358,17.152,0
85675,13.481,8.985,19.268,0
85700,9.81,14.673,16.18,0
85725,13.676,10.398,17.571,0
85750,11.923,10.882,16.644,0
85775,10.735,8.784,20.893,0
85800,14.753,6.013,28.514,0
85825,15.56,10.103,17.585,0
85850,10.489,12.557,19.211,0
85875,14.516,10.588,17.408,0
85900,15.097,20.94,21.564,0
85925,11.37,17.597,18.694,1
85950,12.13,7.532,23.616,1
85975,8.502,6.694,16.532,1
86000,19.061,10.411,23.742,1
86025,11.115,6.238,17.791,1
86050,10.274,9.887,25.639,1
86075,13.508,6.467,18.953,1
86100,14.678,8.778,16.912,1
86125,12.12,10.098,17.125,1
86150,14.944,6.725,14.682,1
86175,14.276,9.922,26.095,1
86200,16.864,38.021,30.059,1
86225,99.958,36.95,31.817,1
86250,719.073,210.899,90.935,1
86275,647.721,146.149,223.929,1
86300,412.955,118.95,387.408,1
86325,254.467,75.255,371.764,1
86350,260.906,216.337,258.931,1
86375,328.935,124.808,148.136,1
86400,202.121,100.131,102.628,1
86425,294.813,60.699,163.805,1
86450,178.139,56.467,203.527,1
86475,175.027,91.887,191.552,1
86500,213.503,86.136,174.576,1
86525,205.553,85.049,162.019,1
86550,247.627,98.837,150.382,1
86575,71.931,75.515,129.342,1
86600,148.082,72.114,145.32,1
86625,122.76,49.61,113.207,1
86650,177.796,108.444,69.208,1
86675,86.117,120.625,65.736,1
86700,114.828,68.468,68.763,1
86725,132.913,89.065,87.573,1
86750,92.263,89.195,35.293,1
86775,82.76,78.764,33.516,1
