m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
-15.3937,23.0823,23.0828,52.7827,-13.5479,34.8659,32.7582,65.7155,2.6078,48.0898,42.8579,85.1467,1
-13.2513,24.2097,23.3954,54.4497,-13.1992,38.3876,35.6314,67.7253,-2.0305,38.0287,32.4986,80.6212,1
-5.5453,23.5274,20.0156,54.5322,-8.7267,30.9429,28.3746,56.1736,2.8121,34.1755,28.5107,71.895,1
0.652,25.8619,22.9467,41.8934,-8.7893,32.3325,30.1138,50.7772,1.6146,52.5081,43.8208,98.0333,1
4.8972,26.8954,23.8677,50.4293,-8.4692,27.8151,25.425,46.3854,-9.6403,36.559,31.5298,78.6045,1
7.2511,25.4367,21.8745,53.3752,-6.6345,35.9641,32.486,61.3967,4.334,28.5782,25.386,52.1086,1
10.3473,23.8962,21.628,48.9583,-10.7262,33.0871,30.5671,61.5862,6.0053,34.4017,29.1549,66.9081,1
7.0033,21.2867,18.7811,49.9647,-8.2187,31.3159,28.9003,48.8492,-12.2582,36.0595,32.7824,76.5183,1
6.5134,23.2417,20.5678,44.6016,-6.315,25.1791,22.9064,43.302,3.94,48.633,40.3756,102.8516,1
0.3875,25.7267,21.7573,55.8096,-11.0483,28.4412,26.7134,47.6899,-13.1498,36.0291,33.4288,62.5553,1
-0.1767,23.4159,20.751,39.1489,1.0486,29.05,25.8981,47.9846,11.4227,29.0783,27.541,52.672,1
25.4589,48.2331,43.19,106.2716,9.5486,54.8468,49.3741,91.0023,-27.5763,66.5658,59.775,154.6058,1
44.4078,40.9557,54.2388,98.1155,9.2839,58.6236,49.7947,120.9578,2.192,78.2307,65.8636,159.0566,1
65.8236,117.292,113.2943,289.3182,4.1372,90.4076,80.1567,164.1047,-1.5595,88.421,74.2916,167.4653,1
-212.2277,186.3409,228.7811,505.5123,29.9879,106.5406,85.324,243.4622,-9.1412,124.1664,95.378,302.4907,1
-110.4145,133.0937,125.1226,386.576,226.1838,85.8505,226.1838,359.5763,-35.4983,152.5356,132.7217,376.6908,1
-54.9988,158.8372,138.2864,394.8024,479.0268,228.0001,479.0268,791.2073,137.2875,126.155,151.4702,402.6239,1
40.4627,179.7277,156.9639,331.7552,730.0833,162.3394,730.0833,984.6807,61.9953,80.3737,83.5615,190.3573,1
221.7535,168.7626,221.7535,733.1423,1421.3796,132.9029,1421.3796,1638.7756,-57.2054,56.1046,61.5758,179.6412,1
71.8069,213.1527,192.7671,452.8068,1307.1998,94.6882,1307.1998,1470.8887,17.7502,72.9612,67.2954,133.1328,1
173.5874,196.3151,203.5977,605.3643,1016.7679,73.6491,1016.7679,1144.0881,7.1845,74.1472,65.0307,118.4855,1
161.5044,168.9746,194.9218,412.1012,790.8635,57.2864,790.8635,889.8962,-1.408,86.6828,73.8172,155.9106,1
-24.5873,213.3466,175.9421,430.106,615.1497,44.5584,615.1497,692.1797,29.5183,121.5928,105.757,240.7889,1
-110.0605,121.7587,148.8001,266.7255,478.4758,34.6586,478.4758,538.3916,31.3309,72.3614,67.0812,159.7979,1
23.5099,125.9141,109.5682,231.1714,372.1678,26.9586,372.1678,418.7715,16.5914,79.1601,67.6751,183.7115,1
12.7132,226.1228,157.8898,556.5344,289.4792,20.9693,289.4792,325.7285,35.3324,112.0621,90.3767,278.0992,1
77.1676,193.8897,188.1053,337.4497,-8.5457,352.915,320.5416,629.0593,14.1803,53.8013,42.7859,130.202,1
-30.2651,150.3604,113.6936,318.3268,-613.2065,281.3326,613.2153,954.6746,-7.774,74.0925,60.6624,157.9877,1
-48.8398,238.995,206.9651,452.9557,-924.5438,200.3416,924.5438,1188.7634,9.2093,96.7511,84.1971,162.218,1
10.5098,205.6024,170.5941,367.8525,-1005.4226,134.3196,1005.4226,1226.7285,-43.6754,88.3052,64.1037,234.1293,1
-114.6166,111.9058,133.1911,301.0511,-1172.7245,130.6404,1172.7245,1454.2979,25.9879,97.2685,65.0612,290.7731,1
-15.2004,154.8626,128.5763,304.3104,-1215.1818,150.4075,1215.1818,1526.4021,-38.8556,71.7054,68.6889,137.7826,1
-58.0817,133.7074,122.3459,298.3921,-1203.0327,130.8808,1203.0327,1478.2678,-12.1223,75.3804,64.1077,176.2153,1
-34.529,236.3759,200.2466,422.9586,-1040.7124,194.6704,1040.7124,1343.5618,-28.7964,89.5361,67.2804,255.3934,1
-36.7801,229.1828,200.7047,398.2203,-906.5595,212.5596,906.5595,1200.266,-34.7083,104.7531,92.2961,269.7687,1
-7.1132,306.2523,243.8818,589.0621,-568.6435,143.0683,568.6435,869.3973,2.4306,92.6354,76.9827,218.8458,1
-45.1905,128.3819,106.2442,355.4714,-318.3124,120.9433,318.3124,523.7155,-48.7818,114.2671,102.2169,284.4757,1
31.6185,266.6918,219.4797,501.5807,-194.8887,135.3547,202.1744,445.4441,-8.3169,107.7517,92.9292,287.5709,1
-34.1861,196.2358,170.9004,373.5613,-226.2533,285.5313,317.9091,634.5455,-45.0066,71.0888,71.9053,156.118,1
-45.2833,165.5544,140.7574,355.9344,-226.7343,288.9212,296.0513,706.8168,-16.3475,74.706,61.5044,152.4709,1
5.2982,138.5962,108.7732,286.6597,-140.1028,149.2864,168.4201,401.6785,-16.522,74.0597,65.3608,126.5555,1
-30.3742,191.4357,158.3107,368.9969,-125.0734,108.0493,144.8627,287.316,-4.1447,77.3647,63.006,178.0675,1
-101.5698,150.4861,142.6592,375.3597,-191.5816,154.5943,194.5732,456.0099,11.7883,82.6542,73.1095,180.4648,1
-18.644,128.1775,102.9473,294.7579,-164.3555,173.0046,195.6199,479.8411,-8.7891,43.6214,37.7595,79.8367,1
-22.0133,174.3039,145.0787,331.2606,-106.863,143.9547,158.5015,290.1625,-21.6353,61.545,56.366,140.2769,1
-37.6621,206.5693,162.275,407.8354,-62.3599,145.1345,124.7099,305.5726,4.3613,63.1726,49.9922,160.896,1
38.8231,141.4508,118.2115,302.2968,-65.6839,114.308,115.2779,219.5488,-5.0044,72.1968,58.5322,156.7998,1
8.931,90.9878,79.0427,161.99,-50.3907,78.7551,76.3373,186.5068,3.7412,66.4628,50.7817,153.2489,1
16.6446,254.9094,208.9556,570.6868,9.1278,162.8131,135.472,343.5699,23.3122,55.2593,45.6106,142.4806,1
31.5369,203.5596,168.0766,381.8396,85.9097,134.5292,128.8275,334.5186,4.1075,74.7607,61.349,155.4952,1
1.8879,229.0876,203.0918,387.9336,54.2319,228.9628,186.786,531.8838,-9.7183,113.1034,90.4578,237.5802,0
66.0383,153.9942,128.2012,402.6868,158.5993,110.0111,168.2368,366.1648,5.5122,79.5257,63.2283,204.7462,0
44.9342,142.5454,123.8722,375.426,119.8877,76.5815,121.1505,307.1708,-22.1481,95.6992,80.753,220.3823,0
39.7846,108.4582,93.7295,319.5347,292.5656,163.8206,292.5656,631.5465,-13.3512,73.7884,59.5572,169.636,0
9.6379,190.259,161.3978,366.688,266.4311,166.0588,267.1216,608.0348,-50.967,160.8436,152.5905,286.4971,0
-11.5736,83.3814,66.6709,187.6794,248.9737,98.9623,248.9737,426.5632,-16.7871,77.4708,68.804,149.8013,0
-75.0174,63.8403,92.0536,160.0505,214.5248,82.5313,214.5248,366.0822,15.3397,40.6548,33.5064,97.8168,0
-72.8136,46.295,74.6457,156.7931,-398.0359,532.04,497.1182,1459.0227,48.7601,49.4775,51.8857,162.0824,0
-47.5887,64.4478,68.1316,158.7701,-1271.7223,92.1177,1271.7223,1430.9683,86.5855,109.2016,122.8396,221.4344,0
10.5392,66.7869,59.0005,136.0687,-989.1731,71.6517,989.1731,1113.0378,125.8034,138.9705,143.3755,402.2305,0
113.9576,41.0077,113.9576,175.3423,-769.4001,55.7327,769.4001,865.7449,104.1167,79.6274,110.239,234.9867,0
174.987,26.5343,174.987,217.9924,-598.4559,43.3504,598.4559,673.395,-70.537,107.3684,107.4479,237.2278,0
199.9156,31.1797,199.9156,235.9008,-465.4919,33.7185,465.4919,523.7811,-209.1274,67.6348,209.1274,372.2841,0
189.6387,41.6785,189.6387,286.3826,-362.0697,26.2269,362.0697,407.4083,-105.1913,74.3772,105.807,245.1826,0
71.3887,62.1876,72.8223,160.7446,-281.6257,20.3994,281.6257,316.891,-26.5142,33.7334,36.0642,92.9716,0
9.3947,41.2713,33.129,89.1189,322.2501,364.6801,431.0946,811.6492,-20.6298,70.2311,59.2502,156.2156,0
-10.6988,22.9356,21.2705,49.8182,1153.0142,163.3056,1153.0142,1407.4839,24.3396,47.9115,45.0513,94.1774,0
6.0669,25.0914,21.7897,51.547,1569.5217,82.186,1569.5217,1698.8167,35.9064,27.3725,40.3407,71.2031,0
-27.35,26.1035,31.2895,64.7109,1745.7253,54.1251,1745.7253,1839.8783,37.7699,45.4096,49.7663,110.1918,0
-22.1046,32.5327,30.983,77.4751,1874.5591,55.4527,1874.5591,2004.8718,2.0074,49.7406,42.9264,104.8081,0
-37.816,28.1664,40.7852,75.1669,1851.327,77.2948,1851.327,1982.2278,-85.9921,50.6468,85.9921,177.218,0
-34.2402,30.8025,37.3359,92.205,1491.6752,108.0564,1491.6752,1678.4648,-60.2059,48.3596,63.5772,153.6738,0
-51.0937,20.6661,51.0937,95.5927,1160.2567,84.0438,1160.2567,1305.5449,-18.3056,37.6618,31.5789,88.0613,0
-52.2171,29.203,52.2171,102.7294,902.4717,65.3711,902.4717,1015.4802,15.2518,49.0194,43.1101,102.4481,0
-55.8788,33.2989,56.8771,109.2911,701.9611,50.8456,701.9611,789.8613,33.8976,41.287,43.4681,108.9576,0
-61.9966,31.8311,62.2426,107.1377,545.9996,39.5493,545.9996,614.3704,70.1558,46.6055,70.7551,143.9956,0
-74.9811,25.082,74.9811,120.9305,424.6896,30.7625,424.6896,477.8699,79.1085,34.2756,79.1085,165.6119,0
-84.3971,31.7173,84.3971,135.7562,330.1392,24.1805,330.1392,371.6965,81.3499,37.4337,81.3499,153.0658,0
-74.7685,24.9159,74.7685,122.8411,179.8337,81.5313,179.8337,289.1602,85.2565,35.7644,85.2565,127.5762,0
-65.9431,30.6028,66.0208,107.203,-90.9954,70.84,101.718,235.3552,63.299,28.5349,64.0964,100.5237,0
-67.1312,25.9457,67.1312,112.2898,-269.7271,62.2359,269.7271,365.9048,74.7951,33.2887,74.7951,151.2555,0
-49.369,33.0788,49.369,112.1311,-388.5501,51.7061,388.5501,471.1255,25.3478,40.2531,36.4289,118.6079,0
