m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
1211.823,319.643,1570685.5,1647.404,1043.499,932.363,1153191.75,1227.869,640.045,94.151,418521.719,781.194,1
1217.459,256.069,1547776.625,1479.592,844.314,104.973,723885.687,1077.396,747.035,249.964,620543.75,1310.862,1
969.2,188.701,974956.187,1204.708,571.195,50.071,328770.75,651.487,531.475,183.009,315957.844,891.143,1
638.732,356.757,498899.719,932.069,786.878,866.589,765554.375,1539.384,353.121,139.017,144020.047,650.893,1
411.018,441.104,224895.156,767.273,1314.165,95.191,1736090.375,1478.726,170.306,103.511,38824.906,363.763,1
206.268,136.146,60676.328,421.148,1022.185,74.045,1050344.125,1150.184,90.754,117.158,13971.699,271.654,1
501.491,222.066,300806.906,965.562,795.077,57.592,635463.812,894.637,187.676,150.447,48705.945,435.662,1
672.471,152.192,475379.375,925.26,618.427,44.795,384458.25,695.867,261.492,101.844,78750.508,458.986,1
860.624,93.068,749334.562,1020.429,481.025,34.843,232598.641,541.259,281.674,100.499,89440.203,447.71,1
841.289,82.501,714572.937,1000.596,374.15,27.103,140723.0,421.002,365.191,91.929,141815.234,488.089,1
872.022,143.11,780903.125,1130.402,291.021,21.08,85137.656,327.464,328.44,74.199,113378.047,428.329,1
709.545,260.638,571385.5,1396.9,226.362,16.397,51508.477,254.707,369.717,167.833,164858.266,689.863,1
745.005,200.735,595327.5,1020.687,176.068,12.754,31162.721,198.116,338.691,62.14,118572.672,465.925,1
667.662,249.031,507789.313,1137.302,136.949,9.92,18853.477,154.098,315.776,100.617,109838.078,534.227,1
496.682,187.711,281928.094,771.036,106.521,7.716,11406.295,119.86,287.564,109.497,94682.398,483.684,1
393.052,306.131,205556.547,784.478,82.854,6.002,6900.757,93.229,258.818,67.588,71554.828,370.615,1
346.064,289.237,147681.484,612.464,64.445,4.668,4174.904,72.515,233.557,65.223,58803.039,388.182,1
346.722,335.061,164026.031,764.118,50.126,3.631,2525.788,56.403,186.908,97.457,44432.625,357.04,1
240.124,218.784,81986.594,527.431,38.988,2.824,1528.05,43.871,149.929,160.551,37078.547,422.633,1
89.074,109.448,12074.174,248.533,30.325,2.197,924.413,34.123,144.722,109.277,29154.408,339.795,1
138.623,177.841,32695.211,414.68,23.587,1.709,559.244,26.54,103.203,121.546,18340.23,343.077,1
162.363,201.249,40529.02,397.189,18.345,1.329,338.318,20.643,93.152,99.406,12130.224,208.11,1
126.404,132.238,21144.215,302.186,14.269,1.034,204.659,16.056,57.973,63.461,4515.489,121.019,1
134.143,154.477,27714.203,332.884,11.097,0.804,123.801,12.488,74.575,89.905,8305.586,226.276,1
175.879,130.908,46476.012,458.763,8.631,0.625,74.89,9.712,48.518,61.253,3813.434,128.944,1
