m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
12.519,13.494,206.219,26.038,9.211,10.444,136.02,25.844,43.395,14.095,2081.823,82.48,0
10.466,10.909,160.193,27.719,8.178,9.904,98.163,19.102,33.947,21.421,1590.586,80.772,0
9.91,11.792,145.132,30.725,7.805,8.97,96.171,20.901,18.108,18.536,481.969,48.33,0
11.11,12.968,182.176,34.083,9.8,11.44,145.241,27.434,47.407,16.466,2518.495,75.459,0
22.074,26.334,697.936,52.007,11.742,11.293,189.342,27.745,39.643,11.568,1705.43,66.299,0
12.537,8.764,212.611,27.675,12.281,12.184,249.301,32.865,16.205,16.818,402.981,46.618,0
8.313,9.654,98.066,19.626,11.994,11.459,249.188,41.649,13.509,15.124,232.378,32.462,0
12.355,9.964,194.272,23.903,12.661,13.497,237.239,28.623,19.444,13.791,534.863,53.242,0
9.909,11.824,149.048,23.018,11.425,12.94,210.329,32.692,8.448,11.358,132.051,28.893,0
8.222,10.771,126.369,28.321,14.2,16.274,288.665,34.151,19.98,13.216,521.165,38.087,0
8.258,10.473,112.119,23.659,12.481,11.951,224.581,27.243,20.693,13.461,575.049,46.792,0
7.796,9.83,104.781,28.483,15.576,15.565,339.92,40.303,12.525,15.221,238.982,35.885,0
11.069,11.153,193.365,27.239,11.656,10.165,212.816,33.933,12.971,14.943,259.894,31.452,0
17.683,11.62,440.87,41.845,12.211,13.789,203.71,26.431,20.87,17.359,670.26,57.462,0
10.266,10.917,190.813,37.139,20.09,15.774,546.549,48.639,32.88,14.023,1277.741,56.95,0
8.758,10.37,108.789,23.881,15.702,12.348,356.95,35.589,25.557,17.718,907.965,61.462,0
8.005,9.12,88.496,20.154,14.745,10.759,293.47,29.493,37.653,21.47,1824.255,68.035,0
17.911,15.899,496.514,53.5,10.005,12.053,169.422,31.316,14.4,20.315,421.308,59.913,0
9.818,10.592,129.89,20.054,10.016,11.253,137.978,22.64,8.599,10.243,108.736,23.45,0
8.254,9.951,108.044,30.727,13.441,13.779,326.824,47.392,38.627,31.526,2364.204,89.818,0
8.371,10.416,108.502,23.282,16.368,18.041,356.834,35.198,61.965,25.709,4500.588,111.607,0
8.069,9.941,99.358,22.221,9.361,12.076,161.585,31.247,11.586,13.559,194.591,29.974,0
11.738,14.176,201.56,28.571,23.105,27.408,760.078,48.186,11.029,13.671,197.218,35.187,0
13.741,16.155,320.276,40.883,14.578,14.27,318.269,33.188,19.098,15.968,567.376,45.082,0
10.482,11.809,158.884,32.598,6.672,8.99,81.843,27.616,13.244,15.552,241.872,26.655,0
7.742,8.878,88.529,22.787,12.262,14.509,211.387,29.407,13.6,16.893,310.499,44.312,0
10.385,10.954,142.447,25.82,13.621,12.44,267.313,27.621,13.985,16.085,290.261,41.923,0
10.911,12.367,153.281,20.906,10.682,12.715,175.89,23.328,29.046,20.508,1109.628,62.604,0
8.192,8.828,99.231,22.004,12.181,16.537,277.37,42.843,29.377,23.502,1177.037,57.479,0
11.211,12.34,180.874,23.686,9.887,10.747,150.203,24.489,15.856,18.18,380.479,37.972,1
12.781,10.799,248.295,42.097,12.509,14.648,224.779,32.479,11.213,13.518,187.477,27.422,1
16.443,14.153,364.472,32.994,8.429,8.709,114.72,23.131,12.184,15.367,238.551,42.884,1
13.179,12.977,225.84,26.172,10.88,11.915,174.201,30.56,27.389,13.679,937.287,65.068,1
11.605,13.763,190.826,31.189,11.613,12.737,181.644,23.296,27.831,15.614,1018.357,67.279,1
12.389,14.856,240.549,34.899,9.504,11.177,126.609,20.13,31.206,15.208,1193.887,56.384,1
10.403,12.894,166.256,25.399,9.858,11.911,152.563,23.374,20.194,14.502,556.788,47.733,1
11.45,14.326,207.329,34.253,11.145,12.432,171.829,23.264,39.191,11.959,1678.988,64.822,1
14.52,14.947,259.897,33.971,8.968,10.938,120.271,22.027,21.198,15.458,640.766,56.847,1
7.792,9.679,98.474,22.491,10.829,11.938,166.861,28.83,20.915,18.35,640.84,44.529,1
13.407,11.364,276.546,31.968,6.919,8.807,77.562,19.408,21.009,18.626,709.203,61.914,1
16.733,14.363,423.606,39.805,12.29,13.98,245.378,32.284,15.913,15.226,362.598,42.23,1
10.789,10.927,162.131,24.513,11.207,13.971,202.407,34.614,16.611,14.903,422.72,41.977,1
12.941,14.593,221.294,29.946,9.546,9.952,134.952,25.519,18.717,21.285,459.725,38.861,1
9.072,11.051,123.423,23.308,11.836,14.069,197.949,28.649,24.958,11.838,763.021,46.007,1
12.555,12.75,252.084,38.891,7.868,10.01,103.062,23.01,27.355,13.792,938.487,50.043,1
10.413,12.114,165.111,24.306,9.703,11.184,138.541,21.526,19.833,16.768,552.859,47.488,1
9.172,8.804,130.936,24.381,13.508,11.688,279.841,38.631,14.891,16.032,307.806,37.295,1
14.712,13.8,363.433,41.05,10.835,13.998,197.151,28.892,17.464,13.227,369.821,40.343,1
11.791,10.78,212.293,28.091,11.864,15.447,241.706,35.092,24.004,17.843,812.928,50.375,1
13.107,14.28,232.896,29.183,8.922,10.264,105.678,19.955,18.668,16.224,507.598,51.796,1
11.148,10.928,205.478,29.857,10.621,12.776,174.634,29.584,19.432,19.324,578.57,49.186,1
11.434,14.518,210.891,32.22,9.402,11.556,140.417,27.315,12.698,15.564,247.898,34.886,1
9.095,10.018,131.631,29.51,12.763,13.798,205.183,21.373,17.208,16.094,443.389,43.329,1
10.95,9.784,186.402,26.861,15.845,15.569,396.975,44.081,22.851,13.999,706.209,45.953,1
7.196,6.981,79.535,20.333,11.204,11.575,174.199,28.859,19.531,12.975,506.683,44.723,1
8.223,9.987,102.969,22.438,11.128,12.749,182.994,26.213,22.517,16.297,733.827,65.613,1
9.737,12.773,163.267,33.874,5.755,7.951,63.273,22.843,29.378,19.729,1146.158,63.099,1
13.217,12.053,252.508,33.965,11.499,12.346,228.114,36.782,31.321,14.569,1174.171,63.259,1
10.871,13.483,204.778,35.059,8.541,9.379,100.24,19.303,16.612,19.745,523.436,63.157,1
11.956,13.074,221.979,27.99,10.193,11.845,159.998,30.744,23.097,18.264,741.643,50.521,1
12.591,14.954,225.899,32.318,9.648,11.355,130.502,27.184,16.92,16.972,408.544,39.886,1
10.829,8.932,158.294,21.629,8.566,10.43,116.642,28.251,13.554,16.075,260.729,41.167,1
14.042,16.856,288.265,29.849,10.539,13.126,200.303,32.485,18.96,15.129,517.065,46.355,1
11.28,14.364,206.629,34.336,11.696,14.528,232.882,29.934,11.619,11.503,211.619,32.85,1
12.673,12.299,240.117,28.884,12.226,14.813,251.575,39.337,11.888,13.777,211.702,36.318,1
15.573,13.396,312.945,34.141,10.884,11.699,163.094,28.611,18.214,19.796,478.589,47.56,1
14.425,13.951,297.045,38.137,13.909,10.342,271.603,28.336,15.014,17.794,385.907,45.651,1
18.811,14.047,510.383,39.567,15.82,16.109,377.744,40.9,15.52,15.802,384.85,43.539,1
14.608,14.377,303.808,41.752,15.523,12.176,358.642,34.238,29.574,19.556,1188.491,63.938,1
14.177,8.256,266.903,31.513,10.137,11.874,179.04,39.544,34.147,17.082,1457.799,59.816,1
